City,Country,Lat,Long,Cloudiness,Max Temperature,Humidity,Windspeed
andorra la vella,ad,42.5,1.5166667,0,50,53,1.59
canillo,ad,42.5666667,1.6,0,50,53,1.59
encamp,ad,42.533333299999995,1.5833333,0,50,53,1.59
la massana,ad,42.55,1.5166667,0,50,53,1.59
les escaldes,ad,42.5,1.5333333,0,50,53,1.59
ordino,ad,42.55,1.5333333,0,50,53,1.59
sant julia de loria,ad,42.466666700000005,1.5,0,50,68,1.36
abu dhabi,ae,24.466667,54.36666700000001,20,78.8,44,16.11
dubai,ae,25.258172000000002,55.304717000000004,0,78.01,38,8.05
sharjah,ae,25.357310000000002,55.403304000000006,0,78.01,38,8.05
asadabad,af,34.873113000000004,71.14697,20,30.2,80,1.36
asmar,af,35.033328000000004,71.358087,92,44.72,86,1.92
baglan,af,36.130684,68.708286,90,50,100,8.05
bagrami,af,34.493761,69.274274,90,42.8,81,1.12
baraki barak,af,33.9675,68.948611,92,31.94,99,2.37
dawlatabad,af,36.432589,64.920713,92,47.6,93,6.4
dawlatabad,af,36.98782,66.82066,92,47.6,93,6.4
farah,af,32.374508,62.116383,88,51.56,77,7.07
gardez,af,33.597439,69.225922,88,29.51,100,2.48
herat,af,34.348167,62.199673,68,37.07,85,2.37
jalalabad,af,34.426468,70.45153,48,37.52,90,1.7
jurm,af,36.864768,70.83420699999999,76,16.28,83,1.7
kabul,af,34.516667,69.18333299999999,90,42.8,81,1.12
kholm,af,36.697362,67.698255,64,33.11,71,17.36
mehtar lam,af,34.671389000000005,70.20944399999999,64,38.06,97,1.81
mirabad,af,30.436244,61.838304,0,49.58,75,8.75
nahrin,af,36.064904,69.13343,12,35,62,3.38
nuristan,af,34.95,70.4,90,51.8,93,9.17
panjab,af,34.387949,67.023273,68,16.73,91,1.7
qarchi gak,af,37.039988,66.788912,90,50,93,13.87
qarqin,af,37.404464000000004,66.074375,88,51.29,97,11.43
sangin,af,32.072752,64.835903,88,51.74,89,2.93
sar-e pul,af,36.215443,65.932487,92,38.42,96,3.15
sharan,af,33.146667,68.791667,92,32.39,96,1.25
tagab,af,34.855007,69.64917,90,42.8,81,1.12
taloqan,af,36.734133,69.533559,64,39.86,81,1.36
taywarah,af,33.521176000000004,64.42115600000001,92,28.52,91,2.15
uruzgan,af,32.927751,66.63253399999999,92,30.14,96,0.92
zaranj,af,30.966666999999998,61.88333299999999,75,60.8,48,18.34
bajram curri,al,42.3572222,20.0730556,0,59,28,11.41
ballsh,al,40.5988889,19.734722199999997,0,45.17,62,3.04
berat,al,40.7058333,19.952222199999998,0,45.17,62,3.04
bilisht,al,40.6275,20.99,0,34.46,100,2.93
bulqize,al,41.4916667,20.221944399999998,0,44.6,75,4.7
burrel,al,41.6102778,20.0088889,0,44.6,75,4.7
cerrik,al,41.0316667,19.9758333,0,44.6,75,4.7
corovode,al,40.5041667,20.227222199999996,12,35.09,78,2.15
delvine,al,39.951111100000006,20.097777800000003,0,52,87,3.36
durres,al,41.3230556,19.4413889,0,44.6,75,4.7
elbasan,al,41.1125,20.082222199999997,0,44.6,75,4.7
erseke,al,40.3377778,20.6788889,0,33.92,84,1.7
fier,al,40.7238889,19.5561111,0,45.17,62,3.04
fushe-arrez,al,42.0622222,20.0166667,0,46.34,46,6.29
fushe-kruje,al,41.478333299999996,19.7177778,0,44.6,75,4.7
gjirokaster,al,40.0758333,20.1388889,0,52,87,3.36
gramsh,al,40.8697222,20.1844444,12,35.09,78,2.15
himare,al,40.1016667,19.7447222,0,52,87,3.36
kavaje,al,41.1855556,19.5569444,0,44.6,75,4.7
kelcyre,al,40.313055600000006,20.1894444,0,33.92,84,1.7
klos,al,41.484444399999994,20.1080556,0,44.6,75,4.7
konispol,al,39.658888899999994,20.181388899999998,0,52,87,3.36
koplik,al,42.2136111,19.4363889,0,59,28,11.41
korce,al,40.6186111,20.7808333,0,46,81,1.12
kruje,al,41.5091667,19.792777800000003,0,44.6,75,4.7
kucove,al,40.800277799999996,19.9166667,0,45.17,62,3.04
kukes,al,42.076944399999995,20.421944399999997,0,28.97,86,2.37
kurbnesh,al,41.7797222,20.0836111,0,44.6,75,4.7
lac,al,41.6355556,19.7130556,0,45,70,2.37
leskovik,al,40.15138889999999,20.597222199999997,0,33.92,84,1.7
lezhe,al,41.7836111,19.6436111,0,44.6,75,4.7
libohove,al,40.031111100000004,20.2630556,0,52,87,3.36
librazhd,al,41.179444399999994,20.315,0,44.6,75,4.7
lushnje,al,40.9419444,19.705,0,44.6,75,4.7
maliq,al,40.7058333,20.699722199999997,0,34.46,100,2.93
mamurras,al,41.5775,19.692222199999996,0,44.6,75,4.7
memaliaj,al,40.345833299999995,19.9791667,0,41.48,100,1.14
milot,al,41.6802778,19.7244444,36,76.85,96,3.71
orikum,al,40.3252778,19.4713889,0,58.76,96,8.41
patos,al,40.6833333,19.6194444,80,72.35,94,2.59
peqin,al,41.046111100000005,19.7511111,0,44.6,75,4.7
permet,al,40.233611100000005,20.3516667,0,33.92,84,1.7
peshkopi,al,41.685,20.4288889,0,44.6,75,4.7
pogradec,al,40.9025,20.6525,12,35.09,78,2.15
polican,al,40.6122222,20.098055600000002,0,45.17,62,3.04
puke,al,42.044444399999996,19.8997222,0,59,28,11.41
roskovec,al,40.7375,19.702222199999998,0,45.17,62,3.04
rreshen,al,41.7675,19.875555600000002,0,44.6,75,4.7
rrogozhine,al,41.0763889,19.665277800000002,0,44.6,75,4.7
rubik,al,41.77444439999999,19.7861111,0,44.6,75,4.7
sarande,al,39.875555600000006,20.0052778,0,52,87,3.36
selenice,al,40.53055560000001,19.6358333,0,45.17,62,3.04
shijak,al,41.345555600000004,19.567222199999996,0,44.6,75,4.7
shkoder,al,42.0675,19.5130556,0,59,28,11.41
tepelene,al,40.2958333,20.0191667,0,41.48,100,1.14
tirana,al,41.3275,19.8188889,0,48.2,70,2.24
vlore,al,40.466666700000005,19.4897222,0,58.76,96,8.41
vore,al,41.3908333,19.655,0,44.6,75,4.7
abovyan,am,40.048888899999994,44.5475,8,32,75,4.7
abovyan,am,40.2691667,44.624444399999994,8,32,75,4.7
agarakadzor,am,39.736388899999994,45.345555600000004,0,35.6,64,1.48
agarak,am,40.3077778,44.2847222,88,33.02,97,1.14
agarak,am,41.0105556,44.4675,88,33.02,97,1.14
agarak,am,39.203888899999995,46.5472222,88,33.02,97,1.14
aghavnadzor,am,40.584166700000004,44.6913889,56,32,86,4.7
aghavnadzor,am,39.7836111,45.228055600000005,56,32,86,4.7
aghavnatun,am,40.233611100000005,44.251388899999995,64,34.64,91,2.37
akhuryan,am,40.781388899999996,43.8963889,20,17.6,78,3.36
aknalich,am,40.143055600000004,44.1483333,8,32,75,4.7
aknashen,am,40.095833299999995,44.28611110000001,8,32,75,4.7
alaverdi,am,41.1305556,44.6519444,0,41,60,24.16
amasia,am,40.9466667,43.781388899999996,0,32,69,4.7
amberd,am,40.2416667,44.2727778,8,32,75,4.7
anushavan,am,40.64194439999999,43.9822222,20,32,78,3.36
apaga,am,40.0961111,44.2511111,8,32,75,4.7
aparan,am,40.5961111,44.3536111,0,32,82,4.7
aragats,am,40.3330556,43.658055600000004,8,32,75,4.7
aragats,am,40.2183333,44.2327778,8,32,75,4.7
aramus,am,40.2511111,44.66305560000001,8,32,75,4.7
arapi,am,40.7797222,43.8005556,8,72.71,65,9.42
ararat,am,39.8094444,44.7144444,8,82.99,42,5.99
arazap,am,40.042777799999996,44.1458333,8,32,75,4.7
archis,am,41.1641667,44.8725,0,41,60,24.16
areni,am,39.720833299999995,45.1838889,0,35.6,64,2.59
arevabuyr,am,40.03611110000001,44.468888899999996,8,32,75,4.7
arevashat,am,40.1416667,44.3708333,8,32,75,4.7
arevashogh,am,40.861388899999994,44.2727778,20,17.6,78,3.36
arevik,am,40.10055560000001,44.0969444,0,32,69,4.7
arevik,am,40.7361111,43.8927778,0,32,69,4.7
arevshat,am,40.0391667,44.5416667,8,32,75,4.7
arevshat,am,40.648611100000004,44.044444399999996,8,32,75,4.7
argavand,am,40.158055600000004,44.44,0,32,69,4.7
argavand,am,40.0608333,44.0952778,0,32,69,4.7
argel,am,40.3794444,44.599444399999996,8,32,75,4.7
armash,am,39.7666667,44.8083333,0,30.2,92,1.12
armavir,am,40.089722200000004,44.048333299999996,92,42.65,59,21.5
arshaluys,am,40.1688889,44.2141667,8,32,75,4.7
artashat,am,39.953888899999995,44.5505556,8,32,75,4.7
arteni,am,40.298333299999996,43.7541667,0,32,69,4.7
artimet,am,40.15138889999999,44.266388899999995,8,32,75,4.7
artsvaberd,am,40.833611100000006,45.4711111,24,21.95,81,1.03
artsvanist,am,40.154444399999996,45.5022222,0,14.93,87,3.6
arzakan,am,40.4494444,44.6063889,8,32,75,4.7
arzni,am,40.2963889,44.595833299999995,8,32,75,4.7
ashnak,am,40.3275,43.9166667,0,32,69,4.7
ashtarak,am,40.3016667,44.3591667,8,32,75,4.7
astghadzor,am,40.1238889,45.3566667,0,14.93,87,3.6
avshar,am,39.8405556,44.6836111,32,32,88,4.7
aygavan,am,39.8647222,44.6702778,32,32,88,4.7
aygedzor,am,39.4627778,46.4152778,0,35.6,64,1.14
aygehovit,am,40.974444399999996,45.2519444,64,34.64,91,2.37
aygek,am,40.1886111,44.3833333,64,34.64,91,2.37
aygepat,am,39.95,44.6,8,32,75,4.7
aygeshat,am,40.235555600000005,44.286666700000005,0,32,69,4.7
aygeshat,am,40.0666667,44.0666667,0,32,69,4.7
aygestan,am,40.0030556,44.5575,8,32,75,4.7
aygezard,am,39.9458333,44.6088889,8,32,75,4.7
aygut,am,40.6841667,45.173055600000005,56,17.9,86,1.7
ayrum,am,41.195,44.8925,0,41,60,24.16
ayrum,am,41.1716667,44.819166700000004,0,41,60,24.16
azatamut,am,40.9758333,45.1980556,56,17.9,86,1.7
azatan,am,40.7238889,43.820555600000006,20,21.2,78,3.36
azatavan,am,39.9833333,44.5,8,32,75,4.7
azatavan,am,40.1333333,44.0666667,8,32,75,4.7
baghramyan,am,40.1908333,43.849444399999996,0,32,69,4.7
bagratashen,am,41.2458333,44.8211111,0,41,60,24.16
balahovit,am,40.2536111,44.603888899999994,8,32,75,4.7
bambakashat,am,40.1144444,44.012222200000004,0,32,69,4.7
bardzrashen,am,40.0852778,44.5786111,20,21.2,78,3.36
bazum,am,40.868055600000005,44.445555600000006,20,17.6,78,3.36
berdavan,am,41.2027778,45.0033333,0,41,60,24.16
berd,am,40.8808333,45.3916667,24,21.95,81,1.03
brnakot,am,39.4969444,45.9730556,0,35.6,64,1.7
brun,am,39.533888899999994,46.30305560000001,80,11.69,85,0.36
buzhakan,am,40.4552778,44.5205556,8,32,75,4.7
byurakan,am,40.3413889,44.273611100000004,8,32,75,4.7
byuravan,am,40.0161111,44.5186111,8,32,75,4.7
byureghavan,am,40.3147222,44.593611100000004,8,32,75,4.7
chambarak,am,40.5952778,45.3475,24,21.95,81,1.03
chochkan,am,41.186111100000005,44.83138889999999,0,41,60,24.16
dalar,am,39.966944399999996,44.5363889,8,32,75,4.7
dalarik,am,40.2183333,43.8602778,0,32,69,4.7
darakert,am,40.1058333,44.413888899999996,8,32,75,4.7
darpas,am,40.838055600000004,44.423333299999996,20,17.6,78,3.36
dashtavan,am,40.1016667,44.390555600000006,8,32,75,4.7
ddmashen,am,40.57194439999999,44.8122222,56,32,86,4.7
dilijan,am,40.7408333,44.8630556,56,17.9,86,1.7
dimitrov,am,40.008055600000006,44.4880556,8,32,75,4.7
doghs,am,40.222777799999996,44.271666700000004,8,32,75,4.7
drakhtik,am,40.5688889,45.231944399999996,64,34.64,91,2.37
tumanyan,am,40.963333299999995,44.6516667,0,13.49,82,2.04
dvin,am,40.02,44.5852778,8,32,75,4.7
dzoraghbyur,am,40.205,44.643055600000004,8,32,75,4.7
fantan,am,40.3941667,44.685,8,32,75,4.7
fioletovo,am,40.7247222,44.71388889999999,56,17.9,86,1.7
gagarin,am,40.536944399999996,44.8577778,88,45.8,93,2.71
gandzak,am,40.3147222,45.111388899999994,8,32,73,4.7
garni,am,40.1194444,44.7230556,8,32,73,4.7
gavar,am,40.3588889,45.1266667,8,32,73,4.7
gay,am,40.0838889,44.305555600000005,80,24.8,92,2.24
geghamasar,am,40.3116667,45.68,0,14.93,87,3.6
geghamavan,am,40.561944399999994,44.8827778,56,32,86,4.7
geghanist,am,40.1497222,44.4344444,20,32,78,3.36
getahovit,am,40.8958333,45.1313889,56,17.9,86,1.7
getashen,am,40.0433333,43.9447222,0,32,69,4.7
getazat,am,40.03805560000001,44.563888899999995,8,32,75,4.7
ghukasavan,am,40.1261111,44.417777799999996,8,32,75,4.7
gladzor,am,39.7783333,45.347777799999996,0,35.6,64,1.48
gogaran,am,40.8955556,44.1991667,20,17.6,78,3.36
goris,am,39.5077778,46.3386111,88,29.15,98,1.7
gosh,am,40.7225,45.0033333,56,17.9,86,1.7
griboyedov,am,40.1130556,44.271666700000004,8,32,75,4.7
gyulagarak,am,40.9697222,44.471388899999994,20,17.6,78,3.36
gyumri,am,40.789444399999994,43.8475,20,21.2,78,3.36
haghartsin,am,40.7780556,44.9625,56,17.9,86,1.7
hayanist,am,40.1197222,44.3775,8,32,75,4.7
haykashen,am,40.0727778,44.3069444,8,32,75,4.7
haykavan,am,40.7558333,43.77,64,34.64,91,2.37
hnaberd,am,40.6427778,44.1444444,0,32,82,4.7
hoktember,am,40.1361111,44.0138889,0,32,69,4.7
horom,am,40.654166700000005,43.8822222,20,21.2,78,3.36
hovtashat,am,40.101944399999994,44.3427778,8,32,75,4.7
hovtashen,am,40.02444439999999,44.45,0,33.11,80,1.03
hrazdan,am,40.5016667,44.7547222,56,32,86,4.7
ijevan,am,40.875555600000006,45.1491667,56,17.9,86,1.7
janfida,am,40.04555560000001,44.0208333,0,32,69,4.7
jermuk,am,39.841666700000005,45.6722222,56,21.59,89,1.48
jrahovit,am,40.0452778,44.47361110000001,8,32,75,4.7
jrashen,am,40.7875,44.1972222,20,17.6,78,3.36
jrashen,am,40.0547222,44.5133333,20,17.6,78,3.36
kamaris,am,40.235833299999996,44.6938889,8,32,75,4.7
kamo,am,40.828055600000006,43.9483333,75,39.2,79,10.29
kanakeravan,am,40.2472222,44.536666700000005,8,32,75,4.7
kapan,am,39.201111100000006,46.415,88,33.02,97,1.14
kaputan,am,40.3244444,44.6938889,8,32,73,4.7
karbi,am,40.3338889,44.3777778,68,29.42,83,4.38
karchaghbyur,am,40.163888899999996,45.5722222,0,14.93,87,3.6
kasakh,am,40.533333299999995,44.4166667,0,32,82,4.7
khashtarak,am,40.9386111,45.1797222,56,17.9,86,1.7
khndzoresk,am,39.512222200000004,46.4336111,88,29.15,98,1.7
lanjaghbyur,am,40.273055600000006,45.1444444,8,32,73,4.7
lchashen,am,40.5202778,44.930833299999996,56,32,86,4.7
lenughi,am,40.1238889,43.9652778,0,32,69,4.7
lernakert,am,40.5669444,43.936111100000005,0,32,67,4.7
lernanist,am,40.4675,44.798055600000005,8,32,73,4.7
spitak,am,40.79555560000001,44.2783333,20,17.6,78,3.36
lernapat,am,40.82,44.3972222,20,17.6,78,3.36
lernavan,am,40.7883333,44.1844444,20,17.6,78,3.36
lorut,am,40.938888899999995,44.7725,56,17.9,86,1.7
lukashin,am,40.1758333,44.0186111,0,32,69,4.7
